id,SiteName,FeederId,EventId,Phase,First Event,Last Event,Cause,Weather,Isolation Equipment Code,Failed Equipment Code,Details
153,Site0014,,2889,2,07:37.0,12:11.0,Tree,Lightning,Breaker,,Transmission Line tripped during a major storm. The cause of this event was likely tree contact. Breakers at Substations tripped and reclosed multiple times.
154,Site0014,,2891,4,43:14.0,43:17.0,Lightning,Lightning,Breaker,,Lightning stroke causing several breakers to trip.
155,Site0010,,2890,4,43:14.0,43:17.0,Lightning,Lightning,Breaker,,Lightning stroke causing several breakers to trip.
156,Site0010,,2892,3,49:29.0,49:32.0,Lightning,Lightning,Breaker,,Two Lines tripped simultaneously causing a temporary outage at  Bus #1.
157,Site0014,,2893,3,49:29.0,49:32.0,Lightning,Lightning,Breaker,,Two Lines tripped simultaneously causing a temporary outage at  Bus #1.
158,Site0010,F_0000022,2899,7,54:57.0,54:57.0,Lightning,Lightning,Breaker,,A lightning strike during a major storm caused primary down and tripped the circuit breaker.
159,Site0014,F_0000016,2904,6,41:06.0,41:06.0,Lightning,Lightning,Breaker,,Lightning during a major storm caused primary wire to fall to the ground and trip the circuit breaker.
160,Site0010,F_0000026,2905,2,07:04.0,08:53.0,Lightning,Major Storm,Recloser,,A lightning strike caused a recloser on  F_0000026 to operate twice and caused primary wire to fall to the ground.
161,Site0010,F_0000026,2906,2,07:04.0,08:53.0,Lightning,Major Storm,Recloser,,A lightning strike caused a recloser on  F_0000026 to operate twice and caused primary wire to fall to the ground.
162,Site0010,F_0000026,2907,2,07:04.0,08:53.0,Lightning,Major Storm,Recloser,,A lightning strike caused a recloser on  F_0000026 to operate twice and caused primary wire to fall to the ground.
163,Site0010,F_0000026,2908,4,07:04.0,08:53.0,Lightning,Major Storm,Recloser,,A lightning strike caused a recloser on  F_0000026 to operate twice and caused primary wire to fall to the ground.
164,Site0010,F_0000024,2909,3,10:37.0,10:37.0,Lightning,Major Storm,Recloser,,A lightning strike caused primary to fall to the ground and trip the circuit breaker of  F_0000024.
165,Site0014,,2911,2,31:19.0,31:19.0,Unknown,,Recloser,,No outage information found for this event. May have been a temporary fault cleared by a successful recloser operation per the sag duration.
166,Site0014,,2912,2,25:00.0,25:00.0,Unknown,,Recloser,,No outage information found for this event. May have been a temporary fault cleared by a successful recloser operation per the sag duration.
167,Site0010,,2914,5,52:37.0,52:38.0,Unknown,,Breaker,,A fault on Line caused the breaker to trip and reclose. The cause of this event is unknown and it's under investigation.
168,Site0014,,2915,5,52:37.0,52:38.0,Unknown,,Breaker,,A fault on Line caused the breaker to trip and reclose. The cause of this event is unknown and it's under investigation.
169,Site0010,F_0000025,2918,1,40:31.0,40:31.0,Equipment,,Breaker,,A fault on a Vac Pac Switch in Substation2 caused the circuit breaker of  F_0000025 to trip.
170,Site0010,F_0000023,2919,1,01:38.0,01:38.0,Equipment,,Switch,,A cable fault in the Substation tripped a Vac Pac Switch. This event is related to the earlier fault that occurred at Substation2
171,Site0010,F_0000023,2920,1,25:53.0,25:53.0,Equipment,,Switch,,A cable fault on primary cable feeding Substation2 from F_0000023 tripped a Vac Pac Switch. This event is related to the other two events from Site0010 this same day.
172,Site0014,F_0000018,2932,4,12:09.0,12:09.0,Equipment,,Breaker,,A splice failure on  F_0000018 out of Site0014 caused the circuit breaker to trip.
173,Site0014,F_0000012,2940,2,33:29.0,33:45.0,Equipment,,Recloser,,A conductor off the pin on F_0000012 out of Site0014 Sub. caused a recloser to trip.
174,Site0014,F_0000012,2941,2,33:29.0,33:45.0,Equipment,,Recloser,Conductor,A conductor off the pin on F_0000012 out of Site0014 Sub. caused a recloser to trip.
175,Site0014,F_0000012,2942,3,33:29.0,33:45.0,Equipment,,Recloser,,A conductor off the pin on F_0000012 out of Site0014 Sub. caused a recloser to trip.
176,Site0014,,2948,4,56:08.0,56:08.0,Unknown,,Recloser,,Unknown cause. Possible successful recloser operation based on the event duration (4.5 cycles).
177,Site0010,,2949,5,00:43.0,00:46.0,Unknown,,Breaker,,While attempting to close back in transmission line a fault occurred trippint the a breaker at Substation. This event is under investigation.
178,Site0014,,2950,5,00:43.0,00:46.0,Unknown,,Breaker,,While attempting to close back in transmission line a fault occurred trippint the a breaker at Substation. This event is under investigation.
179,Site0010,,2955,3,42:48.0,42:48.0,Unknown,Wind,Breaker,,A phase to phase fault on the Transmission Line caused breakers at substations to trip and reclose. The cause of this event is unknown.
180,Site0014,,2956,3,42:48.0,42:48.0,Unknown,Wind,Breaker,,A phase to phase fault on the Transmission Line caused breakers at substations to trip and reclose. The cause of this event is unknown.
181,Site0010,,2994,1,54:58.0,57:32.0,Unknown,,Breaker,,A fault on Transmission Line caused breakers at Substations to trip. This event also led to relay overtrips on the other Lines.
182,Site0014,,2993,1,54:58.0,57:32.0,Unknown,,Breaker,,A fault on Transmission Line caused breakers at Substations to trip. This event also led to relay overtrips on the other Lines.
183,Site0014,,2995,2,08:54.0,08:54.0,Customer Caused,,Switch,,A fault at a customer switchgear caused a severe voltage sag at the substation bus at Site0014. The fault was cleared by the customer's switchgear.
184,Site0014,F_0000012,2997,3,15:33.0,15:33.0,Equipment,,Breaker,,Bad potheads at a riser from F_0000012 out of Site0014 Substation caused the circuit breaker to trip.
185,Site0014,,2998,3,30:50.0,30:50.0,Unknown,,Unknown,,No outage information found for this event.
186,Site0014,F_0000017,2999,7,03:45.0,03:45.0,Tree,,Breaker,,A tree contact on the mainline of F_0000017 from Site0014 Substation tripped the circuit breaker.
187,Site0009,F_0000065,1,2,10:34.5,10:39.9,Tree,Clear Weather,Recloser,LINE CUT,Fault caused line recloser lockout. Tree Outside Right of Way (Fall/Lean On Primary)
188,Site0009,F_0000065,4,2,10:34.5,10:39.9,Tree,Clear Weather,Recloser,LINE CUT,Fault caused line recloser lockout. Tree Outside Right of Way (Fall/Lean On Primary)
189,Site0009,F_0000065,5,2,10:34.5,10:39.9,Tree,Clear Weather,Recloser,LINE CUT,Fault caused line recloser lockout. Tree Outside Right of Way (Fall/Lean On Primary)
190,Site0009,F_0000065,7,2,10:34.5,10:39.9,Tree,Clear Weather,Recloser,LINE CUT,Fault caused line recloser lockout. Tree Outside Right of Way (Fall/Lean On Primary)
191,Site0009,F_0000061,21,1,20:10.6,20:10.6,Equipment,Clear Weather,CO15,FUSE,Overhead Insulator Failure. BROKEN INSULATOR
192,Site0009,F_0000061,22,1,20:10.6,20:10.6,Equipment,Clear Weather,Fuse CO15,FUSE,Overhead Insulator Failure. BROKEN INSULATOR
193,Site0009,F_0000065,62,4,39:59.4,40:01.2,Undetermined,Raining,CO15LB,FUSE,storm
194,Site0009,F_0000065,64,4,39:59.4,40:01.2,Undetermined,Raining,CO15LB,FUSE,storm
195,Site0009,F_0000065,65,4,22:52.5,22:52.8,Tree,Thunderstorm,CO15LB,FUSE,Tree/Limb Growth
196,Site0009,F_0000065,67,4,22:52.5,22:52.8,Tree,Thunderstorm,CO15LB,FUSE,Tree/Limb Growth
197,Site0009,F_0000065,68,2,07:18.6,07:18.6,Tree,Clear Weather,,CUSTOMER,VINES ON TRANSFORMER
198,Site0009,F_0000062,207,4,49:05.0,49:05.0,Undetermined,Snow/Ice,CO15LB,FUSE,snow on limbs into lines
199,Site0009,F_0000065,243,4,06:09.7,06:16.9,Tree,Major Storm,CO15,FUSE,Tree Outside Right of Way (Fall/Lean On Primary). Tree fell on phase A.
200,Site0009,F_0000065,245,4,06:09.7,06:16.9,Tree,Major Storm,CO15,FUSE,Tree Outside Right of Way (Fall/Lean On Primary). Tree fell on phase A.
201,Site0009,F_0000065,247,4,06:09.7,06:16.9,Tree,Major Storm,CO15,FUSE,Tree Outside Right of Way (Fall/Lean On Primary). Tree fell on phase A.
202,Site0009,F_0000065,249,4,06:09.7,06:16.9,Tree,Major Storm,CO15,FUSE,Tree Outside Right of Way (Fall/Lean On Primary). Tree fell on phase A.
203,Site0009,F_0000065,251,1,28:22.7,28:22.7,Tree,Major Storm,,CUSTOMER,Tree Outside Right of Way (Fall/Lean On Primary). Tore primary line down.
204,Site0009,F_0000063,253,1,49:09.8,49:09.8,Tree,Major Storm,CO15LB,FUSE,Limb Fell from Outside Right of Way
205,Site0009,F_0000061,281,5,03:51.0,04:07.9,Vehicle,Snow/Ice,SECT200NLB,SECTIONALIZER,CAR HIT POLE
206,Site0009,F_0000061,283,5,03:51.0,04:07.9,Vehicle,Snow/Ice,SECT200NLB,SECTIONALIZER,CAR HIT POLE
207,Site0009,F_0000061,284,5,03:51.0,04:07.9,Vehicle,Snow/Ice,SECT200NLB,SECTIONALIZER,CAR HIT POLE
208,Site0009,F_0000061,287,5,03:51.0,04:07.9,Vehicle,Snow/Ice,SECT200NLB,SECTIONALIZER,CAR HIT POLE
209,Site0009,F_0000061,289,7,58:49.6,58:49.6,Planned,Snow/Ice,OCB,BREAKER/SWITCH,Repair/Replace Damaged or Failed Facilities
210,Site0009,F_0000063,306,1,21:16.8,21:18.5,Planned,Clear Weather,CO15,FUSE,Repair/Replace Damaged or Failed Facilities
211,Site0009,F_0000065,366,2,53:48.0,53:48.0,Equipment,Thunderstorm,,CUSTOMER,lightning. Cutout/Fuse Link Failure
212,Site0009,F_0000065,550,2,36:17.1,36:17.1,Equipment,Clear Weather,CO15LB,FUSE,"Fuse was blown, did not see any problems. Loggers at end of road say they did not hit line."
213,Site0009,F_0000063,713,1,51:03.0,51:03.0,Equipment,Thunderstorm,CO15,FUSE,Cutout/Fuse Link Failure. lighting in area
214,Site0009,F_0000064,715,1,59:47.3,59:47.3,Undetermined,Thunderstorm,CO15LB,FUSE,
215,Site0009,F_0000064,716,1,36:09.5,36:09.5,Tree,Thunderstorm,,CUSTOMER,Fuse on transformer was blown due to tree limb on trans riser. Tree/Limb Growth
216,Site0009,F_0000064,716,1,36:09.5,36:09.5,Tree,Thunderstorm,,CUSTOMER,Fuse on transformer was blown due to tree limb on trans riser. Tree/Limb Growth
217,Site0009,F_0000062,719,4,09:04.0,09:04.4,Animal,Clear Weather,CO15LB,FUSE,
218,Site0009,F_0000062,722,4,09:04.0,09:04.4,Animal,Clear Weather,CO15LB,FUSE,
219,Site0009,F_0000063,723,1,19:19.1,19:19.1,Tree,Clear Weather,CO15,FUSE,Tree Inside Right of Way (Fall/Lean On Primary)
220,Site0009,F_0000063,775,2,33:49.3,33:49.3,Undetermined,Clear Weather,CO15,FUSE,possible riser to close to pole
221,Site0009,F_0000063,779,4,04:11.5,02:52.1,Equipment,Clear Weather,R100-4E,RECLOSER,Overhead Arrester Failure. UNKNOWN CAUSE AT TIME
222,Site0009,F_0000063,781,4,04:11.5,02:52.1,Equipment,Clear Weather,R100-4E,RECLOSER,Overhead Arrester Failure. UNKNOWN CAUSE AT TIME
223,Site0009,F_0000063,782,4,04:11.5,02:52.1,Equipment,Clear Weather,R100-4E,RECLOSER,Overhead Arrester Failure. UNKNOWN CAUSE AT TIME
224,Site0009,F_0000063,785,4,04:11.5,02:52.1,Equipment,Clear Weather,R100-4E,RECLOSER,Overhead Arrester Failure. UNKNOWN CAUSE AT TIME
225,Site0009,F_0000063,788,4,04:11.5,02:52.1,Equipment,Clear Weather,R100-4E,RECLOSER,Overhead Arrester Failure. UNKNOWN CAUSE AT TIME
226,Site0009,F_0000063,790,4,04:11.5,02:52.1,Equipment,Clear Weather,R100-4E,RECLOSER,Overhead Arrester Failure. UNKNOWN CAUSE AT TIME
227,Site0009,F_0000063,793,4,04:11.5,02:52.1,Equipment,Clear Weather,R100-4E,RECLOSER,Overhead Arrester Failure. UNKNOWN CAUSE AT TIME
228,Site0009,F_0000063,796,4,04:11.5,02:52.1,Equipment,Clear Weather,R100-4E,RECLOSER,Overhead Arrester Failure. UNKNOWN CAUSE AT TIME
229,Site0009,F_0000063,799,4,04:11.5,02:52.1,Equipment,Clear Weather,R100-4E,RECLOSER,Overhead Arrester Failure. UNKNOWN CAUSE AT TIME
230,Site0009,F_0000063,801,4,04:11.5,02:52.1,Equipment,Clear Weather,R100-4E,RECLOSER,Overhead Arrester Failure. UNKNOWN CAUSE AT TIME
231,Site0009,F_0000063,803,4,04:11.5,02:52.1,Equipment,Clear Weather,R100-4E,RECLOSER,Overhead Arrester Failure. UNKNOWN CAUSE AT TIME
232,Site0009,F_0000063,804,4,04:11.5,02:52.1,Equipment,Clear Weather,R100-4E,RECLOSER,Overhead Arrester Failure. UNKNOWN CAUSE AT TIME
234,Site0009,F_0000063,807,4,04:11.5,02:52.1,Equipment,Clear Weather,R100-4E,RECLOSER,Overhead Arrester Failure. UNKNOWN CAUSE AT TIME
235,Site0009,F_0000063,809,4,02:54.9,03:25.8,Equipment,Clear Weather,,SERVICE TRANSFORMER,Overhead Transformer Outage
236,Site0009,F_0000063,811,4,02:55.0,03:25.8,Equipment,Clear Weather,,SERVICE TRANSFORMER,Overhead Transformer Outage
237,Site0009,F_0000063,852,2,41:55.5,41:55.9,Lightning,Thunderstorm,CO15,FUSE,"Lightning struck transf, burned primary down.Overhead Primary Failure (No Tree Involved)"
238,Site0009,F_0000063,855,2,41:55.5,41:55.9,Lightning,Thunderstorm,CO15,FUSE,"Lightning struck transf, burned primary down.Overhead Primary Failure (No Tree Involved)"
239,Site0009,F_0000061,857,1,29:42.6,29:43.0,Equipment,Windy,CO15,FUSE,Cutout/Fuse Link Failure. possible lightning
240,Site0009,F_0000061,859,1,29:30.3,29:30.3,Equipment,Clear Weather,CO15,FUSE,Overhead Transformer Outage. Bblown tap line fuse bad transformer.
241,Site0009,F_0000065,868,2,06:21.8,06:21.8,Tree,Clear Weather,R100E,RECLOSER,Tree/Limb Growth
242,Site0009,F_0000065,935,2,31:11.9,31:40.0,Customer Request,Clear Weather,,CUSTOMER,CALL BACK - Lights on.
243,Site0009,F_0000065,940,2,31:11.9,31:40.0,Customer Request,Clear Weather,,CUSTOMER,CALL BACK - Lights on.
244,Site0009,F_0000065,942,2,31:11.9,31:40.0,Customer Request,Clear Weather,,CUSTOMER,CALL BACK - Lights on.
245,Site0009,F_0000065,947,2,31:11.9,31:40.0,Customer Request,Clear Weather,,CUSTOMER,CALL BACK - Lights on.
246,Site0009,F_0000065,952,4,01:44.4,01:44.4,Equipment,Clear Weather,CO15LB,FUSE,Underground Transformer Outage. Need to replace trans.
247,Site0009,F_0000065,957,3,58:58.7,05:04.5,Animal,Clear Weather,R-OVR-1PT,RECLOSER,SNAKE
248,Site0009,F_0000065,959,3,58:58.7,05:04.5,Animal,Clear Weather,R-OVR-1PT,RECLOSER,SNAKE
249,Site0009,F_0000065,960,3,58:58.7,05:04.5,Animal,Clear Weather,R-OVR-1PT,RECLOSER,SNAKE
250,Site0009,F_0000065,962,3,58:58.7,05:04.5,Animal,Clear Weather,R-OVR-1PT,RECLOSER,SNAKE
251,Site0009,F_0000065,963,3,58:58.7,05:04.5,Animal,Clear Weather,R-OVR-1PT,RECLOSER,SNAKE
252,Site0009,F_0000065,965,3,58:58.7,05:04.5,Animal,Clear Weather,R-OVR-1PT,RECLOSER,SNAKE
253,Site0009,F_0000064,1057,1,23:23.6,23:23.6,Equipment,Clear Weather,,SERVICE TRANSFORMER,Overhead Transformer Outage. CAUSE NOT KNOWN
254,Site0009,F_0000065,1088,1,09:11.5,09:11.5,Vehicle,Clear Weather,,CUSTOMER,car hit guy wire
255,Site0009,F_0000062,1089,2,20:06.1,20:06.6,Animal,Clear Weather,CO15LB,FUSE,squirrl
256,Site0009,F_0000061,1106,1,37:29.7,37:29.7,Equipment,Clear Weather,CO15LB,FUSE,Cutout/Fuse Link Failure
257,Site0009,F_0000061,1108,1,16:35.0,16:35.3,Animal,Clear Weather,,SERVICE TRANSFORMER,SNAKE ON LIGHTNING ARRESTER
258,Site0009,F_0000061,1111,1,16:35.0,16:35.3,Animal,Clear Weather,,SERVICE TRANSFORMER,SNAKE ON LIGHTNING ARRESTER
259,Site0009,F_0000061,1196,4,39:42.1,39:42.1,Customer Request,Clear Weather,,CUSTOMER,custmer called back light on. Customer Breaker / Equipment Failure
260,Site0002,F_0000044,21832,1,14:23.0,14:23.0,Lightning,,,,lightning caused this fuse to blow
261,Site0002,F_0000044,21831,1,14:23.0,14:23.0,,,,,transformer died under t3309
262,Site0002,F_0000044,21840,2,40:36.0,40:36.0,Animal,,,,live bird caused trans fuse to blo
263,Site0002,F_0000044,21842,1,55:07.0,55:07.0,Tree,,,,tree broke primary under n3177
264,Site0002,F_0000044,21843,2,04:20.0,04:20.0,,,,,replace ug elbow under n3395
265,Site0002,F_0000044,21844,7,13:23.0,13:23.0,Tree,,,,tree brought service down causing
266,Site0002,F_0000044,21846,6,43:37.0,43:37.0,Tree,,,,wind and trees cause this fuse to b
267,Site0002,F_0000044,21852,4,14:05.0,14:05.0,,,,,bad switch barrel t6293
268,Site0002,F_0000044,21853,2,30:39.0,30:39.0,,,,,unknown grimmlin caused this 10 am
269,Site0002,F_0000044,21854,7,44:30.0,44:30.0,Tree,,,,bad weather blew down a tree that
270,Site0002,F_0000044,21855,1,21:57.0,21:57.0,,,,,this overload transormer blew under
271,Site0002,F_0000044,21856,1,03:53.0,03:53.0,Tree,,,,wind and trees caused n3157 to blo
272,Site0002,F_0000044,21857,1,07:38.0,07:38.0,,,,,closed transformer cutout
273,Site0002,F_0000044,21858,7,04:05.0,04:05.0,,,,,cap bank on
274,Site0002,F_0000044,21859,4,18:07.0,18:07.0,,,,,cap banl off
275,Site0002,F_0000044,21872,1,03:37.0,03:37.0,,,,,n3157 bad arrester
276,Site0002,F_0000044,21873,4,49:01.0,49:01.0,Animal,,,,anoher squirrel attack under t6293
277,Site0002,F_0000044,21874,1,04:52.0,04:52.0,,,,,arching
278,Site0002,F_0000044,21875,4,27:47.0,27:47.0,,,,,more arching
279,Site0002,F_0000044,21876,7,18:07.0,18:07.0,,,,,more arching
280,Site0002,F_0000044,21878,1,18:56.0,18:56.0,,,,,last of the arching
281,Site0002,F_0000044,21881,1,31:55.0,31:55.0,,,,,
282,Site0002,F_0000045,21841,7,54:39.0,54:39.0,,,,,unknown as to what caused this
283,Site0002,F_0000046,21833,4,57:19.0,57:19.0,Tree,,,,vines caused this outage under t82
284,Site0002,F_0000046,21836,7,57:47.0,57:47.0,,,,,service shortng under t2489
285,Site0002,F_0000046,21837,4,23:19.0,23:19.0,,,,,same service still shorting
286,Site0002,F_0000046,21838,7,33:10.0,33:10.0,,,,,service finally smoked
287,Site0002,F_0000046,21839,6,03:01.0,03:01.0,,,,,overloaded transformer in a three
288,Site0002,F_0000046,21845,3,38:53.0,38:53.0,Animal,,,,another animal attach under t3537
289,Site0002,F_0000046,21847,7,29:18.0,29:18.0,,,,,arcing jumper under t7577
290,Site0002,F_0000046,21848,7,32:16.0,32:16.0,,,,,arching jumper
291,Site0002,F_0000046,21849,7,34:01.0,34:01.0,,,,,arching jumper
292,Site0002,F_0000046,21850,7,35:45.0,35:45.0,,,,,same jumper still arching
293,Site0002,F_0000046,21851,7,20:13.0,20:13.0,,,,,last of srching jumper
294,Site0002,F_0000046,21860,6,06:05.0,06:05.0,,,,,t6501 A13808 customers lowside fau
295,Site0002,F_0000046,21871,4,41:13.0,41:13.0,,,,,T8289 refused trans 10A rabbit att
296,Site0002,F_0000047,21861,6,17:34.0,17:34.0,Vehicle,,,,truck hit pole breaker 1225 33rd s
297,Site0002,F_0000047,21862,6,18:15.0,18:15.0,Vehicle,,,,truck hit pole 1225 33rd st shot3c
298,Site0002,F_0000047,21863,7,51:32.0,51:32.0,Vehicle,,,,breaker reclose from truck hiting
299,Site0002,F_0000047,21865,1,59:03.0,59:03.0,,,,,close phase A after pole repair.
300,Site0002,F_0000047,21864,1,59:03.0,59:03.0,Vehicle,,,,truck hit pole sub breaker 1225 33.
301,Site0002,F_0000047,21866,2,59:13.0,59:13.0,,,,,close another phase.
302,Site0002,F_0000047,21867,4,00:19.0,00:19.0,,,,,close last phase after truck hit p.
303,Site0002,F_0000047,21869,7,17:28.0,17:28.0,Animal,,,,t3521 100amp woodpecker attack.
304,Site0002,F_0000047,21870,5,56:27.0,56:27.0,,,,,small motor start.
305,Site0002,F_0000047,21879,1,06:38.0,06:38.0,,,,,t8937 100amp lightening strike.
306,Site0002,F_0000047,21880,1,11:34.0,11:34.0,,,,,pick up load after lightning strik
307,Site0003,F_0000049,21834,6,47:10.0,47:10.0,,,,,bad wind storm primary on ground u
308,Site0003,F_0000049,21835,2,11:36.0,11:36.0,,,,,bad transformer under t5063
309,Site0003,F_0000050,21868,1,59:08.0,59:08.0,,,,,deteriorated line fuse.
310,Site0003,F_0000050,21877,4,28:18.0,28:18.0,,,,,t3527 10Amp tree limb.
